# tier=2
# PROVENANCE: pooled NON-SPIKED reagent blanks + spike-free reagent controls
#   (replaces the Salter-only build; gut-contaminated HUNT PRJEB66439 EXCLUDED):
#     qiita (PRJEB56784 reagent blanks): 45 usable runs
#     salter spike-free (ERP006808, <=10% spike): 15 usable runs
#   60 controls, 19 taxa, min_reads=2; GCF-keyed (Tier-1 DB).
#   Validated 2026-06-22: broader coverage (23 vs 18 taxa) + lower run-unique
#   fraction + lower E.coli RPM than the prior Salter-only table. Tier 2 -> cap B;
#   coverage (not dispersion) is the limit (docs/dispersion-validation-2026-06-22.md).
taxon_id	rpm
GCF_000005845.2	20240.1
GCF_000006335.3	46740.5
GCF_000006765.1	149264
GCF_000006945.2	6254.74
GCF_000007045.1	396.512
GCF_000011545.1	4493.25
GCF_000013145.1	212.814
GCF_000025565.1	4186.67
GCF_000025985.1	162901
GCF_000240185.1	16925.2
GCF_000783735.2	12708.8
GCF_001281065.1	541681
GCF_002209125.2	446.929
GCF_002950395.1	12589.8
GCF_006094375.1	27913.1
GCF_020641395.2	27466.4
GCF_030291735.1	119.548
GCF_033956065.1	2174.41
GCF_900636985.1	3922.07
